tweet_id,writer,post_date,body,comment_num,retweet_num,like_num
550479199144669184,ChuckDBrooks,1420079443,Tech Forecast: http://news.investors.com/technology/123114-732780-wearables-cloud-ott-tv-cybersecurity-big-in-2015-predictions.htm… #IBDNews via @IBDinvestors  $AAPL $MSFT $AMZN $GOOGL $NFLX $TMUS $T $VZ $HPQ $EMC $TWX $SNE $HD $TGT,0,0,2
550479777006497792,themotleyfool,1420079580,"#FoolFaves2014 Lo, how the mighty have fallen? Why the future of $AAPL's iPad is looking murkier:",0,7,5
550480246634733568,caroltheva,1420079692,Free course - Capital usage with Options http://bit.ly/CapiEffi $GLD $SLV $TSLA,0,0,0
550481219285438465,__Bolt,1420079924,Patent granted for $AAPL may be for new device http://ln.is/www.cnbc.com/id/lSDdE…,0,0,0
550483579684528129,DCaptura,1420080487,"""My increasing frustration with #Android in a single screenshot"" $GOOG http://zite.to/1B363Xv",0,0,0
550484093230542849,GoldenGlobeGGA,1420080609,$RSH $AAPL Apple should buy Radioshack and start pushing their entire line of products...,0,1,0
550484322772606978,CryptoGrain,1420080664,Apple is being sued for falsely advertising the storage capacity of iPhones: http://on.wsj.com/13TL64c $AAPL,0,0,0
550486654587514881,BackpackingEC,1420081220,3D Systems and Amazon are set for stock rebounds in 2015: http://onforb.es/1wBqtAB $DDD $AMZN,0,0,0
550489113468866561,InTheKnowMoney,1420081806,"The week's winners and losers on Wall Street: Apple gels, Marriott jams http://aol.it/1tkWug8 $AAPL $MAR",0,1,0
550489146624856064,CNBC,1420081814,"Earlier this month, a mysterious glitch caused $AAPL to suddenly drop 6% » http://cnb.cx/1wafKRS (via @JohnMelloy)",4,18,17
550490653067857920,ndrewWood,1420082173,"Dec 1st ""glitches"" with $AAPL stock were indicative of future shifts. Interesting concept.",0,0,1
550490695065407488,marketstocknews,1420082183,"RT CNBC: Earlier this month, a mysterious glitch caused $AAPL to suddenly drop 6% » http://cnb.cx/1wafKRS  (vi... http://ift.tt/1tpseAE",0,0,0
550490701562003457,paulchertyk,1420082185,"$tsla $scty Just gotta wait and be patient with these... Sucks, huh?",0,0,0
550491399788183553,Michael_Vasanth,1420082352,"RT CNBC: Earlier this month, a mysterious glitch caused $AAPL to suddenly drop 6% » http://cnb.cx/1wafKRS  (vi... http://ift.tt/1tpseAE",0,0,0
550493870069678080,caroltheva,1420082940,Option Greeks are critical in Options trading http://bit.ly/OptGreek $IBM $MSFT $HPQ,0,0,0
